Gr_ID,Full Name,Email,Phone Number,Course,Branch,Registration Date,College,Field
GR0043,Tara Verma,tara.verma21@example.com,+91 9160168338,Video Editing | 3D Animation,RWR2 - Mavdi,2026-02-01,VNSGU,MCA
GR0044,Suresh Desai,suresh.desai82@example.com,+91 7401484409,Graphic | UI/UX,RW2 - Yogi Chowk,2026-02-24,SVNIT,BCA
GR0045,Ramesh Verma,ramesh.verma24@example.com,+91 7698327303,Full Stack Development,RWA1 - Nikol,2026-02-17,MSU Baroda,MCA
GR0046,Pooja Gupta,pooja.gupta98@example.com,+91 6932047997,Full Stack Development,RW5 - Ved Road,2026-02-13,Marwadi University,B.Sc IT
GR0047,Kavya Joshi,kavya.joshi63@example.com,+91 9474077512,Video Editing | 3D Animation,RW5 - Ved Road,2026-02-25,L.D. College of Engineering,BBA
GR0048,Diya Vyas,diya.vyas52@example.com,+91 9822188797,Graphic | Video Editing,RWVN1 - Vidhyanagar,2026-02-09,VNSGU,Diploma in IT
GR0049,Suresh Verma,suresh.verma57@example.com,+91 8993125203,AI/ML & Data Science,RWA1 - Nikol,2026-02-09,Nirma University,MCA
GR0050,Aditya Desai,aditya.desai54@example.com,+91 6667091574,Video Editing | 3D Animation,RW8 - Dindoli,2026-02-18,RK University,M.Sc IT
GR0051,Aditya Verma,aditya.verma69@example.com,+91 9567549561,Video Editing | 3D Animation,RWA5 - Chandkheda,2026-02-28,MSU Baroda,B.Sc IT
GR0052,Diya Shah,diya.shah86@example.com,+91 8089282064,Video Editing | 3D Animation,RW6 - Adajan,2026-02-06,MSU Baroda,MCA
GR0053,Ramesh Desai,ramesh.desai67@example.com,+91 7141336032,Full Stack Development,RWR1 - Kotecha,2026-02-07,Gujarat University,B.Tech Computer Science
GR0054,Vihaan Chauhan,vihaan.chauhan67@example.com,+91 8625192750,AI/ML & Data Science,RWA6 - Vastral,2026-02-22,Silver Oak University,B.Tech Computer Science
GR0055,Diya Singh,diya.singh47@example.com,+91 8352876121,Video Editing | 3D Animation,RWA5 - Chandkheda,2026-02-15,RK University,B.Com
GR0056,Amit Trivedi,amit.trivedi37@example.com,+91 8110539652,AI/ML & Data Science,RWAM1 - Amreli,2026-02-11,RK University,B.Com
GR0057,Aditya Verma,aditya.verma95@example.com,+91 9927829374,Full Stack Development,RW7 - Vesu,2026-02-28,Nirma University,M.Sc IT
GR0058,Vivaan Singh,vivaan.singh55@example.com,+91 9380807046,Video Editing | 3D Animation,RWVN1 - Vidhyanagar,2026-02-08,MSU Baroda,B.Com
GR0059,Krishna Parmar,krishna.parmar52@example.com,+91 9623390813,Graphic | UI/UX,RW7 - Vesu,2026-02-20,VNSGU,BCA
GR0060,Sneha Shah,sneha.shah48@example.com,+91 6936049978,Full Stack Development,RWAM1 - Amreli,2026-02-17,Silver Oak University,Diploma in IT
GR0061,Arjun Sharma,arjun.sharma30@example.com,+91 9921390377,Graphic | Video Editing,RWA6 - Vastral,2026-02-17,DDU,B.Tech Computer Science
GR0062,Shaurya Verma,shaurya.verma45@example.com,+91 7104183626,AI/ML & Data Science,RWBH1 - Bharuch,2026-02-17,MSU Baroda,MCA
GR0063,Aditya Kumar,aditya.kumar15@example.com,+91 9988505368,Video Editing | 3D Animation,RW6 - Adajan,2026-02-18,RK University,BBA
GR0064,Arjun Singh,arjun.singh92@example.com,+91 7567657149,Full Stack Development,RW4 - Mota Varachha,2026-02-04,Marwadi University,B.Sc IT
GR0065,Diya Vyas,diya.vyas37@example.com,+91 7019249275,Video Editing | 3D Animation,RWA4 - Bopal,2026-02-25,DDU,B.Com
GR0066,Amit Sharma,amit.sharma24@example.com,+91 6880463039,Graphic | UI/UX,RW1 - A.K Road,2026-02-08,Silver Oak University,BCA
GR0067,Vikram Desai,vikram.desai69@example.com,+91 7181930836,AI/ML & Data Science,RWR2 - Mavdi,2026-02-23,Nirma University,M.Sc IT
GR0068,Vivaan Mehta,vivaan.mehta51@example.com,+91 7424593680,Graphic | UI/UX,RWJN1 - Junagadh,2026-02-25,Gujarat University,Diploma in IT
GR0069,Vihaan Chauhan,vihaan.chauhan77@example.com,+91 7720931991,AI/ML & Data Science,RWR1 - Kotecha,2026-02-17,MSU Baroda,M.Sc IT
GR0070,Maya Vyas,maya.vyas57@example.com,+91 8319270396,Graphic | UI/UX,RW8 - Dindoli,2026-02-28,Gujarat University,MCA
GR0071,Riya Gupta,riya.gupta69@example.com,+91 8194393159,AI/ML & Data Science,RWA1 - Nikol,2026-02-20,MSU Baroda,BBA
GR0072,Suresh Chauhan,suresh.chauhan83@example.com,+91 9457858292,Video Editing | 3D Animation,RWGN1 - Gandhinagar,2026-02-25,Marwadi University,Diploma in IT
GR0073,Ayaan Trivedi,ayaan.trivedi30@example.com,+91 6117605172,Video Editing | 3D Animation,RWA1 - Nikol,2026-02-22,Nirma University,M.Sc IT
GR0074,Neha Verma,neha.verma24@example.com,+91 9910105516,Graphic | Video Editing,RWA5 - Chandkheda,2026-02-20,RK University,B.Sc IT
GR0075,Sneha Verma,sneha.verma41@example.com,+91 9659512189,Full Stack Development,RWMH - Maheshana,2026-02-18,MSU Baroda,BCA
GR0076,Isha Gupta,isha.gupta74@example.com,+91 7601198153,Graphic | Video Editing,RWA6 - Vastral,2026-02-12,MSU Baroda,B.Com
GR0077,Tara Trivedi,tara.trivedi20@example.com,+91 6391327711,Graphic | Video Editing,RWA3 - Maninagar,2026-02-02,RK University,B.Tech Computer Science
GR0078,Ishaan Singh,ishaan.singh67@example.com,+91 7827220992,AI/ML & Data Science,RWGN1 - Gandhinagar,2026-02-01,Nirma University,B.Com
GR0079,Arjun Rathod,arjun.rathod69@example.com,+91 8625899173,Graphic | UI/UX,RW5 - Ved Road,2026-02-24,Nirma University,M.Sc IT
GR0080,Pooja Sharma,pooja.sharma19@example.com,+91 6262188465,Video Editing | 3D Animation,RWA2 - Navrangpura,2026-02-21,RK University,MCA
GR0081,Ishaan Singh,ishaan.singh23@example.com,+91 6834360260,Graphic | Video Editing,RWSON - Online,2026-02-10,Marwadi University,Diploma in IT
GR0082,Kriti Sharma,kriti.sharma51@example.com,+91 6383420828,Full Stack Development,RWBN - Bhavnagar,2026-02-17,Nirma University,M.Sc IT
GR0083,Tara Kumar,tara.kumar62@example.com,+91 9239374886,Full Stack Development,RWA2 - Navrangpura,2026-02-24,DDU,MCA
GR0084,Isha Desai,isha.desai29@example.com,+91 7025867432,Full Stack Development,RW5 - Ved Road,2026-02-20,Nirma University,M.Sc IT
GR0085,Diya Trivedi,diya.trivedi72@example.com,+91 8899354735,Full Stack Development,RWA2 - Navrangpura,2026-02-17,DDU,Diploma in IT
GR0086,Suresh Kumar,suresh.kumar60@example.com,+91 6646879754,Full Stack Development,RWBN - Bhavnagar,2026-02-05,VNSGU,B.Tech Computer Science
GR0087,Sai Chauhan,sai.chauhan66@example.com,+91 7700496217,AI/ML & Data Science,RWGN1 - Gandhinagar,2026-02-26,SVNIT,B.Tech Computer Science
GR0088,Isha Mehta,isha.mehta75@example.com,+91 9518838618,AI/ML & Data Science,RW4 - Mota Varachha,2026-02-06,Gujarat University,Diploma in IT
GR0089,Vivaan Chauhan,vivaan.chauhan57@example.com,+91 6728004967,Graphic | UI/UX,RWJN1 - Junagadh,2026-02-25,DDU,MCA
GR0090,Isha Trivedi,isha.trivedi77@example.com,+91 9435015432,Video Editing | 3D Animation,RW1 - A.K Road,2026-02-08,L.D. College of Engineering,B.Sc IT
GR0091,Pooja Verma,pooja.verma14@example.com,+91 6512021678,Full Stack Development,RWVN1 - Vidhyanagar,2026-02-15,Gujarat University,B.Sc IT
GR0092,Maya Shah,maya.shah11@example.com,+91 7742370839,Graphic | Video Editing,RW2 - Yogi Chowk,2026-02-08,Silver Oak University,B.Sc IT
GR0093,Riya Verma,riya.verma59@example.com,+91 8516330944,Full Stack Development,RWR2 - Mavdi,2026-02-19,SVNIT,B.Com
GR0094,Vihaan Joshi,vihaan.joshi48@example.com,+91 7837920243,Graphic | Video Editing,RWA6 - Vastral,2026-02-20,MSU Baroda,BBA
GR0095,Aditya Trivedi,aditya.trivedi62@example.com,+91 8160163395,AI/ML & Data Science,RWBH1 - Bharuch,2026-02-01,L.D. College of Engineering,B.Tech Computer Science
GR0096,Ramesh Patel,ramesh.patel91@example.com,+91 8618878893,Video Editing | 3D Animation,RW8 - Dindoli,2026-02-07,Gujarat University,MCA
GR0097,Maya Chauhan,maya.chauhan62@example.com,+91 8885906026,Graphic | Video Editing,RWA2 - Navrangpura,2026-02-07,MSU Baroda,B.Tech Computer Science
GR0098,Kavya Rathod,kavya.rathod85@example.com,+91 8053783739,Full Stack Development,RWA6 - Vastral,2026-02-06,Silver Oak University,BBA
GR0099,Suresh Parmar,suresh.parmar33@example.com,+91 7386551948,AI/ML & Data Science,RWMH - Maheshana,2026-02-28,L.D. College of Engineering,B.Com
GR0100,Aditya Mehta,aditya.mehta91@example.com,+91 9133857281,Graphic | UI/UX,RWBN - Bhavnagar,2026-02-16,MSU Baroda,M.Sc IT
GR0101,Arjun Joshi,arjun.joshi95@example.com,+91 6794549153,Full Stack Development,RWA6 - Vastral,2026-02-16,Silver Oak University,B.Tech Computer Science
GR0102,Ayaan Desai,ayaan.desai77@example.com,+91 6943706028,Video Editing | 3D Animation,RWA6 - Vastral,2026-02-18,L.D. College of Engineering,B.Tech Computer Science
GR0103,Riya Trivedi,riya.trivedi40@example.com,+91 9310625494,Video Editing | 3D Animation,RWA2 - Navrangpura,2026-02-04,VNSGU,BCA
GR0104,Ishaan Gupta,ishaan.gupta41@example.com,+91 6414381588,Full Stack Development,RW2 - Yogi Chowk,2026-02-04,SVNIT,BBA
GR0105,Isha Rathod,isha.rathod45@example.com,+91 9303832932,Graphic | UI/UX,RWNV1 - Navshari,2026-02-25,MSU Baroda,B.Com
GR0106,Shaurya Joshi,shaurya.joshi50@example.com,+91 9051551575,Video Editing | 3D Animation,RW7 - Vesu,2026-02-27,Marwadi University,Diploma in IT
GR0107,Vikram Patel,vikram.patel78@example.com,+91 8905248979,Graphic | UI/UX,RWBN - Bhavnagar,2026-02-15,Nirma University,B.Com
GR0108,Neha Patel,neha.patel43@example.com,+91 7909689789,Graphic | Video Editing,RWVN1 - Vidhyanagar,2026-02-16,DDU,M.Sc IT
GR0109,Vikram Kumar,vikram.kumar36@example.com,+91 6733019364,Full Stack Development,RWMH - Maheshana,2026-02-02,Silver Oak University,Diploma in IT
GR0110,Vihaan Verma,vihaan.verma92@example.com,+91 6795898041,Graphic | UI/UX,RWJN1 - Junagadh,2026-02-14,Gujarat University,M.Sc IT
GR0111,Ramesh Mehta,ramesh.mehta62@example.com,+91 6904811115,AI/ML & Data Science,RW4 - Mota Varachha,2026-02-25,VNSGU,BBA
GR0112,Vivaan Shah,vivaan.shah32@example.com,+91 6662653857,AI/ML & Data Science,RWR2 - Mavdi,2026-02-06,SVNIT,B.Tech Computer Science
GR0113,Kriti Singh,kriti.singh82@example.com,+91 9648063122,Full Stack Development,RWA1 - Nikol,2026-02-03,Nirma University,BBA
GR0114,Isha Trivedi,isha.trivedi88@example.com,+91 9284586597,Full Stack Development,RWA5 - Chandkheda,2026-02-07,DDU,B.Tech Computer Science
GR0115,Aditya Verma,aditya.verma53@example.com,+91 7901329336,Video Editing | 3D Animation,RW1 - A.K Road,2026-02-12,DDU,BBA
GR0116,Amit Sharma,amit.sharma35@example.com,+91 8675684190,Graphic | UI/UX,RWA5 - Chandkheda,2026-02-20,Marwadi University,M.Sc IT
GR0117,Vivaan Patel,vivaan.patel35@example.com,+91 6059667996,Graphic | UI/UX,RW7 - Vesu,2026-02-11,DDU,B.Tech Computer Science
GR0118,Pooja Joshi,pooja.joshi90@example.com,+91 9031673330,Full Stack Development,RWBN - Bhavnagar,2026-02-09,RK University,BBA
GR0119,Kavya Parmar,kavya.parmar85@example.com,+91 9777261322,Graphic | UI/UX,RWA1 - Nikol,2026-02-03,RK University,B.Sc IT
GR0120,Ayaan Vyas,ayaan.vyas57@example.com,+91 9892313989,Graphic | UI/UX,RW4 - Mota Varachha,2026-02-02,Nirma University,MCA
GR0121,Diya Patel,diya.patel56@example.com,+91 6887996583,AI/ML & Data Science,RWA5 - Chandkheda,2026-02-25,MSU Baroda,BBA
GR0122,Pooja Trivedi,pooja.trivedi60@example.com,+91 6657621270,Full Stack Development,RWJN1 - Junagadh,2026-02-15,L.D. College of Engineering,BCA
GR0123,Diya Shah,diya.shah56@example.com,+91 6380138140,Full Stack Development,RW6 - Adajan,2026-02-10,VNSGU,MCA
GR0124,Vikram Kumar,vikram.kumar76@example.com,+91 8232376687,Graphic | Video Editing,RWA3 - Maninagar,2026-02-01,DDU,B.Com
GR0125,Krishna Trivedi,krishna.trivedi91@example.com,+91 7316062553,Full Stack Development,RWA5 - Chandkheda,2026-02-03,Nirma University,MCA
GR0126,Ramesh Trivedi,ramesh.trivedi20@example.com,+91 7960670550,Video Editing | 3D Animation,RW4 - Mota Varachha,2026-02-24,SVNIT,BCA
GR0127,Sai Patel,sai.patel85@example.com,+91 6706253281,Graphic | Video Editing,RWJN1 - Junagadh,2026-02-12,MSU Baroda,BBA
GR0128,Vihaan Rathod,vihaan.rathod48@example.com,+91 7567263660,Full Stack Development,RWGN1 - Gandhinagar,2026-02-07,Gujarat University,M.Sc IT
GR0129,Suresh Shah,suresh.shah68@example.com,+91 8073611373,Full Stack Development,RW2 - Yogi Chowk,2026-02-21,VNSGU,MCA
GR0130,Ayaan Chauhan,ayaan.chauhan44@example.com,+91 8378667119,Video Editing | 3D Animation,RW8 - Dindoli,2026-02-02,L.D. College of Engineering,B.Sc IT
GR0131,Isha Patel,isha.patel81@example.com,+91 8405219578,Graphic | Video Editing,RW4 - Mota Varachha,2026-02-18,RK University,M.Sc IT
GR0132,Kriti Parmar,kriti.parmar76@example.com,+91 7037020406,Video Editing | 3D Animation,RWA3 - Maninagar,2026-02-02,Silver Oak University,BCA
GR0133,Diya Patel,diya.patel69@example.com,+91 9989062793,Video Editing | 3D Animation,RWNV1 - Navshari,2026-02-08,VNSGU,BBA
GR0134,Amit Singh,amit.singh13@example.com,+91 6033545838,AI/ML & Data Science,RWAM1 - Amreli,2026-02-19,L.D. College of Engineering,M.Sc IT
GR0135,Aditya Desai,aditya.desai33@example.com,+91 7622445850,Full Stack Development,RW4 - Mota Varachha,2026-02-19,Gujarat University,Diploma in IT
GR0136,Vikram Trivedi,vikram.trivedi21@example.com,+91 7816942917,Graphic | Video Editing,RW6 - Adajan,2026-02-10,RK University,Diploma in IT
GR0137,Aarav Desai,aarav.desai24@example.com,+91 6344715976,Full Stack Development,RWVN1 - Vidhyanagar,2026-02-01,RK University,MCA
GR0138,Ishaan Singh,ishaan.singh63@example.com,+91 8775967961,Video Editing | 3D Animation,RWR1 - Kotecha,2026-02-14,VNSGU,Diploma in IT
GR0139,Vihaan Singh,vihaan.singh42@example.com,+91 6787061733,AI/ML & Data Science,RWA6 - Vastral,2026-02-16,DDU,B.Com
GR0140,Amit Sharma,amit.sharma83@example.com,+91 7066538072,Full Stack Development,RWA5 - Chandkheda,2026-02-22,RK University,MCA
GR0141,Sai Singh,sai.singh53@example.com,+91 8007040526,Full Stack Development,RWA6 - Vastral,2026-02-18,DDU,MCA
GR0142,Rahul Joshi,rahul.joshi46@example.com,+91 6974726934,Video Editing | 3D Animation,RWAM1 - Amreli,2026-02-18,Silver Oak University,B.Com
GR0143,Kriti Desai,kriti.desai23@example.com,+91 6598677185,Graphic | UI/UX,RWBH1 - Bharuch,2026-02-03,Nirma University,B.Com
GR0144,Kriti Rathod,kriti.rathod16@example.com,+91 9511882488,Graphic | UI/UX,RW8 - Dindoli,2026-02-04,SVNIT,B.Com
GR0145,Pooja Kumar,pooja.kumar51@example.com,+91 6009254559,AI/ML & Data Science,RWA5 - Chandkheda,2026-02-01,SVNIT,BBA
GR0146,Aditya Chauhan,aditya.chauhan28@example.com,+91 9223236465,Video Editing | 3D Animation,RWJN1 - Junagadh,2026-02-14,L.D. College of Engineering,B.Sc IT
GR0147,Ramesh Vyas,ramesh.vyas33@example.com,+91 8982988830,Video Editing | 3D Animation,RWMH - Maheshana,2026-02-15,VNSGU,B.Sc IT
GR0148,Aditya Rathod,aditya.rathod54@example.com,+91 8008666075,Graphic | Video Editing,RWMH - Maheshana,2026-02-24,MSU Baroda,M.Sc IT
GR0149,Sai Parmar,sai.parmar10@example.com,+91 7577761731,Full Stack Development,RWR1 - Kotecha,2026-02-25,DDU,Diploma in IT
GR0150,Ramesh Rathod,ramesh.rathod57@example.com,+91 6409551591,Graphic | Video Editing,RW1 - A.K Road,2026-02-02,VNSGU,M.Sc IT
GR0151,Vivaan Mehta,vivaan.mehta74@example.com,+91 7360769789,AI/ML & Data Science,RWSON - Online,2026-02-09,Nirma University,BBA
GR0152,Kriti Singh,kriti.singh76@example.com,+91 9843348101,AI/ML & Data Science,RW2 - Yogi Chowk,2026-02-25,Nirma University,B.Sc IT
GR0153,Ramesh Gupta,ramesh.gupta19@example.com,+91 6446663716,Full Stack Development,RWA2 - Navrangpura,2026-02-10,SVNIT,BCA
GR0154,Kriti Chauhan,kriti.chauhan34@example.com,+91 6830040937,Full Stack Development,RW5 - Ved Road,2026-02-22,Nirma University,Diploma in IT
GR0155,Aarav Joshi,aarav.joshi89@example.com,+91 6379286617,AI/ML & Data Science,RW5 - Ved Road,2026-02-13,RK University,B.Tech Computer Science
GR0156,Vivaan Vyas,vivaan.vyas44@example.com,+91 7407914143,Graphic | UI/UX,RWR2 - Mavdi,2026-02-27,Marwadi University,B.Com
GR0157,Amit Chauhan,amit.chauhan24@example.com,+91 9270050082,Full Stack Development,RW5 - Ved Road,2026-02-22,Marwadi University,B.Com
GR0158,Pooja Parmar,pooja.parmar75@example.com,+91 8526376111,Video Editing | 3D Animation,RWA4 - Bopal,2026-02-08,DDU,Diploma in IT
GR0159,Kavya Patel,kavya.patel89@example.com,+91 9255141551,Full Stack Development,RW7 - Vesu,2026-02-28,Nirma University,BCA
GR0160,Isha Shah,isha.shah38@example.com,+91 7503633630,Video Editing | 3D Animation,RWA3 - Maninagar,2026-02-09,SVNIT,Diploma in IT
GR0161,Vivaan Shah,vivaan.shah57@example.com,+91 8017718692,Full Stack Development,RWA1 - Nikol,2026-02-28,Silver Oak University,B.Tech Computer Science
GR0162,Amit Parmar,amit.parmar12@example.com,+91 6192575465,Video Editing | 3D Animation,RW4 - Mota Varachha,2026-02-25,Nirma University,BCA
GR0163,Kavya Patel,kavya.patel18@example.com,+91 6546425793,Video Editing | 3D Animation,RW7 - Vesu,2026-02-26,Nirma University,MCA
GR0164,Vikram Trivedi,vikram.trivedi65@example.com,+91 7236933318,AI/ML & Data Science,RWVN1 - Vidhyanagar,2026-02-16,SVNIT,BCA
GR0165,Pooja Chauhan,pooja.chauhan23@example.com,+91 7191828592,Full Stack Development,RWA5 - Chandkheda,2026-02-10,Silver Oak University,M.Sc IT
GR0166,Krishna Rathod,krishna.rathod61@example.com,+91 7126606246,Full Stack Development,RWNV1 - Navshari,2026-02-03,SVNIT,Diploma in IT
GR0167,Vihaan Sharma,vihaan.sharma80@example.com,+91 8723521549,Video Editing | 3D Animation,RW1 - A.K Road,2026-02-16,Silver Oak University,MCA
GR0168,Maya Chauhan,maya.chauhan18@example.com,+91 7353662494,Graphic | Video Editing,RWVN1 - Vidhyanagar,2026-02-16,Nirma University,M.Sc IT
GR0169,Kriti Patel,kriti.patel22@example.com,+91 9346190917,Video Editing | 3D Animation,RW8 - Dindoli,2026-02-11,SVNIT,B.Com
GR0170,Isha Sharma,isha.sharma11@example.com,+91 6542555731,Graphic | Video Editing,RWNV1 - Navshari,2026-02-21,DDU,B.Tech Computer Science
GR0171,Sai Kumar,sai.kumar27@example.com,+91 7483299797,Video Editing | 3D Animation,RWBH1 - Bharuch,2026-02-21,Nirma University,Diploma in IT
GR0172,Isha Joshi,isha.joshi36@example.com,+91 8732692015,Full Stack Development,RW5 - Ved Road,2026-02-25,RK University,B.Tech Computer Science
GR0173,Tara Shah,tara.shah71@example.com,+91 8176901738,Video Editing | 3D Animation,RW8 - Dindoli,2026-02-06,RK University,BCA
GR0174,Isha Kumar,isha.kumar51@example.com,+91 6941924994,Video Editing | 3D Animation,RWBH1 - Bharuch,2026-02-04,VNSGU,B.Sc IT
GR0175,Suresh Joshi,suresh.joshi83@example.com,+91 6762670787,Graphic | Video Editing,RWSON - Online,2026-02-01,RK University,B.Com
GR0176,Sai Mehta,sai.mehta20@example.com,+91 7634512268,Full Stack Development,RW8 - Dindoli,2026-02-02,MSU Baroda,B.Sc IT
GR0177,Ramesh Patel,ramesh.patel70@example.com,+91 7062610733,Video Editing | 3D Animation,RWGN1 - Gandhinagar,2026-02-12,Gujarat University,B.Sc IT
GR0178,Vivaan Parmar,vivaan.parmar77@example.com,+91 9742810301,Video Editing | 3D Animation,RWMH - Maheshana,2026-02-06,SVNIT,BBA
GR0179,Arjun Parmar,arjun.parmar33@example.com,+91 7113629456,Graphic | Video Editing,RWR1 - Kotecha,2026-02-17,Silver Oak University,BCA
